"id","name","type","network","subNetwork","firstSeen","lastSeen","latitude","longitude","city","country","countryCode"
17,"elfin-hen-3164","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-11T15:00:00.000Z",1.3036,103.8554,"Singapore","Singapore","SGP"
65,"centbox","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
7,"pathrocknetwork","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",48.8323,2.4075,"Paris","France","FRA"
57,"unused-father-7342","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.1188,8.6843,"Frankfurt am Main","Germany","DEU"
20,"melodic-dad-8712","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
39,"narrow-worm-8664","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.1188,8.6843,"Frankfurt am Main","Germany","DEU"
63,"aceso","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",53.3379,-6.2591,"Dublin","Ireland","IRL"
32,"thirsty-nobel","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",32.8608,-79.9746,"North Charleston","United States of America","USA"
51,"vagabond-agreement-4040","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
8,"ZKValidator2","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",53.3379,-6.2591,"Dublin","Ireland","IRL"
74,"fat-quilt-0724","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-11T17:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
